,Temp_Change
,mean
datetime,
1994-02-01,-0.8839619774840921
1994-03-01,0.6430591924282939
1994-04-01,-0.1012285620435136
1994-05-01,-0.07588053097345127
1994-06-01,-0.22623953065739572
1994-07-01,0.3107424028822055
1994-08-01,-0.05590552709206642
1994-09-01,-0.14172405997604048
1994-10-01,-0.24079029597282872
1994-11-01,0.5466166417538615
1994-12-01,-0.3050182150085321
1995-01-01,0.10387471725068465
1995-02-01,0.6096507647341446
1995-03-01,-0.734302371774701
1995-04-01,0.030918559662899803
1995-05-01,0.054010955755602386
1995-06-01,0.10841947902700633
1995-07-01,0.1991699829124739
1995-08-01,-0.12565162542455122
1995-09-01,-0.3545285152409046
1995-10-01,0.3485398230088496
1995-11-01,-0.4995262367938872
1995-12-01,-0.08957553311761729
1996-01-01,0.3716593510324485
1996-02-01,-0.4186106784660768
